Time,VBAT,CHG
2014-11-14 11:18:08.229262,3.63,2.8
2014-11-14 11:18:39.819878,3.66,2.82
2014-11-14 11:19:09.911611,3.69,2.83
2014-11-14 11:19:40.002837,3.71,2.84
2014-11-14 11:20:10.094673,3.72,2.86
2014-11-14 11:20:40.185969,3.74,2.86
2014-11-14 11:21:10.277478,3.75,2.88
2014-11-14 11:21:40.369376,3.77,2.88
2014-11-14 11:22:10.461101,3.78,2.89
2014-11-14 11:22:40.552281,3.79,2.9
2014-11-14 11:23:10.643955,3.8,2.9
2014-11-14 11:23:40.735519,3.81,2.91
2014-11-14 11:24:10.827099,3.81,2.92
2014-11-14 11:24:40.918459,3.81,2.92
2014-11-14 11:25:11.010006,3.82,2.92
2014-11-14 11:25:41.101793,3.82,2.92
2014-11-14 11:26:11.193207,3.82,2.92
2014-11-14 11:26:41.284852,3.82,2.92
2014-11-14 11:27:11.376446,3.82,2.92
2014-11-14 11:27:41.467984,3.82,2.93
2014-11-14 11:28:11.559683,3.82,2.93
2014-11-14 11:28:41.651060,3.83,2.93
2014-11-14 11:29:11.742431,3.82,2.93
2014-11-14 11:29:41.834200,3.83,2.93
2014-11-14 11:30:11.925691,3.83,2.93
2014-11-14 11:30:42.017052,3.83,2.93
2014-11-14 11:31:12.108637,3.84,2.94
2014-11-14 11:31:42.200396,3.83,2.93
2014-11-14 11:32:12.291913,3.83,2.93
2014-11-14 11:32:42.383536,3.84,2.93
2014-11-14 11:33:12.475037,3.84,2.93
2014-11-14 11:33:42.566768,3.84,2.93
2014-11-14 11:34:12.657970,3.84,2.93
2014-11-14 11:34:42.749633,3.84,2.94
2014-11-14 11:35:12.837232,3.85,2.94
2014-11-14 11:35:42.928653,3.85,2.94
2014-11-14 11:36:13.020235,3.85,2.94
2014-11-14 11:36:43.111966,3.85,2.94
2014-11-14 11:37:13.203449,3.85,2.95
2014-11-14 11:37:43.295161,3.86,2.95
2014-11-14 11:38:13.386586,3.86,2.95
2014-11-14 11:38:43.478033,3.86,2.95
2014-11-14 11:39:13.569833,3.87,2.96
2014-11-14 11:39:43.661256,3.87,2.96
2014-11-14 11:40:13.752848,3.87,2.95
2014-11-14 11:40:43.844270,3.87,2.96
2014-11-14 11:41:13.935836,3.87,2.96
2014-11-14 11:41:44.027178,3.88,2.96
2014-11-14 11:42:14.119069,3.88,2.96
2014-11-14 11:42:44.210523,3.87,2.96
2014-11-14 11:43:14.302225,3.88,2.96
2014-11-14 11:43:44.393503,3.88,2.96
2014-11-14 11:44:14.485280,3.88,2.96
2014-11-14 11:44:44.576712,3.88,2.96
2014-11-14 11:45:14.668352,3.89,2.97
2014-11-14 11:45:44.759870,3.9,2.97
2014-11-14 11:46:14.851442,3.89,2.97
2014-11-14 11:46:44.943112,3.89,2.97
2014-11-14 11:47:15.034364,3.9,2.97
2014-11-14 11:47:45.126092,3.9,2.97
2014-11-14 11:48:15.217759,3.9,2.97
2014-11-14 11:48:45.309355,3.91,2.98
2014-11-14 11:49:15.396722,3.9,2.98
2014-11-14 11:49:45.488197,3.91,2.97
2014-11-14 11:50:15.580044,3.91,2.98
2014-11-14 11:50:45.671522,3.9,2.98
2014-11-14 11:51:15.762902,3.91,2.98
2014-11-14 11:51:45.854396,3.91,2.98
2014-11-14 11:52:15.946059,3.91,2.98
2014-11-14 11:52:46.037471,3.92,2.98
2014-11-14 11:53:16.129168,3.92,2.98
2014-11-14 11:53:46.220564,3.92,2.98
2014-11-14 11:54:16.312278,3.92,2.98
2014-11-14 11:54:46.403942,3.92,2.99
2014-11-14 11:55:16.495425,3.92,2.98
2014-11-14 11:55:46.586911,3.92,2.99
2014-11-14 11:56:16.678397,3.92,2.99
2014-11-14 11:56:46.770203,3.93,2.99
2014-11-14 11:57:16.861682,3.93,2.99
2014-11-14 11:57:46.953111,3.92,2.99
2014-11-14 11:58:17.044843,3.93,2.99
2014-11-14 11:58:47.136036,3.93,2.99
2014-11-14 11:59:17.227847,3.93,2.99
2014-11-14 11:59:47.319314,3.93,2.99
2014-11-14 12:00:17.410934,3.93,2.99
2014-11-14 12:00:47.502611,3.94,2.99
2014-11-14 12:01:17.594069,3.93,2.99
2014-11-14 12:01:47.685652,3.94,2.99
2014-11-14 12:02:17.777110,3.94,2.99
2014-11-14 12:02:47.868786,3.94,2.99
2014-11-14 12:03:17.960209,3.94,2.99
2014-11-14 12:03:48.047902,3.94,2.99
2014-11-14 12:04:18.139410,3.94,2.99
2014-11-14 12:04:48.230925,3.94,2.99
