Time,VBAT,CHG
2014-11-23 16:44:45.726465,4.07,3.07
2014-11-23 16:45:15.818043,4.05,3.06
2014-11-23 16:45:45.909242,4.05,3.06
2014-11-23 16:46:15.996901,4.05,3.05
2014-11-23 16:46:46.088519,4.04,3.05
2014-11-23 16:47:16.179724,4.04,3.06
2014-11-23 16:47:46.267242,4.04,3.05
2014-11-23 16:48:16.359041,4.04,3.06
2014-11-23 16:48:46.450290,4.04,3.06
2014-11-23 16:49:16.541651,4.05,3.05
2014-11-23 16:49:46.629472,4.04,3.05
2014-11-23 16:50:16.720620,4.04,3.05
2014-11-23 16:50:46.812168,4.03,3.05
2014-11-23 16:51:16.903892,4.04,3.05
2014-11-23 16:51:46.991188,4.04,3.05
2014-11-23 16:52:17.082701,4.03,3.05
2014-11-23 16:52:47.174121,4.03,3.05
2014-11-23 16:53:17.265661,4.03,3.05
2014-11-23 16:53:47.353038,4.03,3.05
2014-11-23 16:54:17.444676,4.03,3.05
2014-11-23 16:54:47.536205,4.04,3.05
2014-11-23 16:55:17.623327,4.03,3.05
2014-11-23 16:55:47.715315,4.03,3.05
2014-11-23 16:56:17.806349,4.03,3.05
2014-11-23 16:56:47.897918,4.02,3.05
2014-11-23 16:57:17.985333,4.03,3.04
2014-11-23 16:57:48.076964,4.03,3.05
2014-11-23 16:58:18.168337,4.03,3.04
2014-11-23 16:58:48.255914,4.03,3.04
2014-11-23 16:59:18.347455,4.02,3.05
2014-11-23 16:59:48.439047,4.03,3.05
2014-11-23 17:00:18.530271,4.03,3.05
2014-11-23 17:00:48.617895,4.02,3.05
2014-11-23 17:01:18.709104,4.02,3.04
2014-11-23 17:01:48.800831,4.02,3.04
2014-11-23 17:02:18.892185,4.03,3.04
2014-11-23 17:02:48.979994,4.02,3.04
2014-11-23 17:03:19.071214,4.02,3.04
2014-11-23 17:03:49.162300,4.02,3.04
2014-11-23 17:04:19.250022,4.02,3.04
2014-11-23 17:04:49.341849,4.03,3.04
2014-11-23 17:05:19.433322,4.02,3.04
2014-11-23 17:05:49.524669,4.02,3.04
2014-11-23 17:06:19.611970,4.02,3.04
2014-11-23 17:06:49.703537,4.02,3.04
2014-11-23 17:07:19.794979,4.02,3.04
2014-11-23 17:07:49.882279,4.02,3.04
2014-11-23 17:08:19.974007,4.02,3.04
2014-11-23 17:08:50.065507,4.02,3.04
2014-11-23 17:09:20.156800,4.02,3.04
2014-11-23 17:09:50.244512,4.01,3.04
2014-11-23 17:10:20.336047,4.02,3.04
2014-11-23 17:10:50.427334,4.02,3.04
2014-11-23 17:11:20.514865,4.02,3.04
2014-11-23 17:11:50.606379,4.01,3.04
2014-11-23 17:12:20.697853,4.02,3.04
2014-11-23 17:12:50.789038,4.02,3.04
2014-11-23 17:13:20.876671,4.02,3.04
2014-11-23 17:13:50.968336,4.02,3.04
2014-11-23 17:14:21.059607,4.01,3.04
2014-11-23 17:14:51.147281,4.02,3.04
2014-11-23 17:15:21.238615,4.01,3.04
2014-11-23 17:15:51.330016,4.01,3.04
2014-11-23 17:16:21.421598,4.01,3.04
2014-11-23 17:16:51.509181,4.01,3.04
2014-11-23 17:17:21.600650,4.01,3.04
2014-11-23 17:17:51.692069,4.01,3.04
2014-11-23 17:18:21.779307,4.02,3.04
2014-11-23 17:18:51.871132,4.01,3.04
2014-11-23 17:19:21.962457,4.01,3.03
2014-11-23 17:19:52.054050,4.02,3.04
2014-11-23 17:20:22.141294,4.01,3.04
2014-11-23 17:20:52.232966,4.02,3.04
2014-11-23 17:21:22.324376,4.01,3.04
2014-11-23 17:21:52.411792,4.01,3.04
2014-11-23 17:22:22.503502,4.01,3.03
2014-11-23 17:22:52.594817,4.01,3.04
2014-11-23 17:23:22.686149,4.01,3.03
2014-11-23 17:23:52.773677,4.01,3.04
2014-11-23 17:24:22.865117,4.01,3.04
2014-11-23 17:24:52.956656,4.01,3.04
2014-11-23 17:25:23.044333,4.01,3.03
2014-11-23 17:25:53.135871,4.01,3.03
2014-11-23 17:26:23.227198,4.01,3.03
2014-11-23 17:26:53.318703,4.0,3.03
2014-11-23 17:27:23.406196,4.01,3.04
2014-11-23 17:27:53.497594,4.01,3.03
2014-11-23 17:28:23.589067,4.01,3.03
2014-11-23 17:28:53.676659,4.01,3.03
2014-11-23 17:29:23.767815,4.01,3.03
2014-11-23 17:29:53.859537,4.01,3.03
2014-11-23 17:30:23.951119,4.0,3.03
2014-11-23 17:30:54.038449,4.01,3.03
2014-11-23 17:31:24.130091,4.0,3.03
2014-11-23 17:31:54.221448,4.0,3.03
2014-11-23 17:32:24.308907,4.01,3.03
2014-11-23 17:32:54.400276,4.0,3.03
2014-11-23 17:33:24.491998,4.0,3.03
2014-11-23 17:33:54.583475,4.01,3.04
2014-11-23 17:34:24.671109,4.0,3.03
2014-11-23 17:34:54.762432,4.01,3.03
2014-11-23 17:35:24.854004,4.0,3.03
2014-11-23 17:35:54.941533,4.01,3.04
2014-11-23 17:36:25.032809,4.0,3.03
2014-11-23 17:36:55.124357,4.01,3.03
2014-11-23 17:37:25.211921,4.0,3.03
2014-11-23 17:37:55.303121,4.0,3.03
2014-11-23 17:38:25.394875,4.0,3.03
2014-11-23 17:38:55.486342,3.99,3.03
2014-11-23 17:39:25.573762,4.0,3.03
2014-11-23 17:39:55.665109,4.0,3.03
2014-11-23 17:40:25.756797,4.0,3.03
2014-11-23 17:40:55.844391,4.0,3.03
2014-11-23 17:41:25.935594,4.0,3.03
2014-11-23 17:41:56.027256,4.0,3.03
2014-11-23 17:42:26.118702,4.0,3.03
2014-11-23 17:42:56.206239,3.99,3.03
2014-11-23 17:43:26.297467,3.99,3.03
2014-11-23 17:43:56.389215,3.99,3.03
2014-11-23 17:44:26.476716,4.0,3.03
2014-11-23 17:44:56.567928,3.99,3.03
2014-11-23 17:45:26.659697,3.99,3.02
2014-11-23 17:45:56.751069,4.0,3.03
2014-11-23 17:46:26.838384,4.0,3.03
2014-11-23 17:46:56.929995,3.99,3.03
2014-11-23 17:47:27.021551,4.0,3.03
2014-11-23 17:47:57.108959,3.99,3.03
2014-11-23 17:48:27.200377,4.0,3.03
2014-11-23 17:48:57.292139,3.99,3.03
2014-11-23 17:49:27.379720,3.99,3.03
2014-11-23 17:49:57.470806,3.99,3.02
2014-11-23 17:50:27.562598,3.99,3.02
2014-11-23 17:50:57.654003,3.99,3.03
2014-11-23 17:51:27.741678,3.99,3.02
2014-11-23 17:51:57.832942,3.99,3.02
2014-11-23 17:52:27.924683,3.99,3.02
2014-11-23 17:52:58.011815,3.99,3.02
2014-11-23 17:53:28.103412,3.99,3.02
2014-11-23 17:53:58.194986,3.99,3.03
2014-11-23 17:54:28.286316,4.0,3.03
2014-11-23 17:54:58.373913,3.99,3.02
2014-11-23 17:55:28.465324,3.99,3.02
2014-11-23 17:55:58.556877,3.99,3.03
2014-11-23 17:56:28.644442,3.98,3.02
2014-11-23 17:56:58.735772,3.99,3.02
2014-11-23 17:57:28.827155,3.99,3.02
2014-11-23 17:57:58.914823,3.99,3.02
2014-11-23 17:58:29.005892,3.99,3.02
2014-11-23 17:58:59.097727,3.99,3.02
2014-11-23 17:59:29.189004,3.99,3.02
2014-11-23 17:59:59.276614,3.98,3.02
2014-11-23 18:00:29.368134,3.98,3.02
2014-11-23 18:00:59.459712,3.98,3.02
2014-11-23 18:01:29.547190,3.98,3.02
2014-11-23 18:01:59.638615,3.99,3.02
2014-11-23 18:02:29.730063,3.99,3.02
2014-11-23 18:02:59.817605,3.99,3.03
2014-11-23 18:03:29.908909,3.98,3.02
2014-11-23 18:04:00.000336,3.99,3.02
2014-11-23 18:04:30.092077,3.98,3.02
2014-11-23 18:05:00.179535,3.99,3.02
2014-11-23 18:05:30.270918,3.98,3.02
2014-11-23 18:06:00.362607,3.98,3.02
2014-11-23 18:06:30.450028,3.98,3.02
2014-11-23 18:07:00.541540,3.98,3.02
2014-11-23 18:07:30.633017,3.98,3.02
2014-11-23 18:08:00.720458,3.98,3.02
2014-11-23 18:08:30.811912,3.98,3.02
2014-11-23 18:09:00.903385,3.98,3.02
2014-11-23 18:09:30.995053,3.98,3.02
2014-11-23 18:10:01.082258,3.98,3.02
2014-11-23 18:10:31.173765,3.98,3.02
2014-11-23 18:11:01.265356,3.98,3.02
2014-11-23 18:11:31.353024,3.98,3.02
2014-11-23 18:12:01.444327,3.98,3.01
2014-11-23 18:12:31.535835,3.98,3.02
2014-11-23 18:13:01.623226,3.98,3.01
2014-11-23 18:13:31.714940,3.98,3.02
2014-11-23 18:14:01.806180,3.98,3.02
2014-11-23 18:14:31.893765,3.98,3.02
2014-11-23 18:15:01.985140,3.98,3.02
2014-11-23 18:15:32.076594,3.98,3.02
2014-11-23 18:16:02.168190,3.98,3.02
2014-11-23 18:16:32.255905,3.98,3.02
2014-11-23 18:17:02.347177,3.98,3.02
2014-11-23 18:17:32.438727,3.98,3.01
2014-11-23 18:18:02.526127,3.98,3.02
2014-11-23 18:18:32.617825,3.98,3.02
2014-11-23 18:19:02.709016,3.98,3.01
2014-11-23 18:19:32.796409,3.98,3.01
2014-11-23 18:20:02.888108,3.98,3.02
2014-11-23 18:20:32.979470,3.98,3.01
2014-11-23 18:21:03.071072,3.98,3.01
2014-11-23 18:21:33.158509,3.98,3.01
2014-11-23 18:22:03.249882,3.98,3.01
2014-11-23 18:22:33.341423,3.98,3.01
2014-11-23 18:23:03.429129,3.97,3.01
2014-11-23 18:23:33.520584,3.97,3.01
2014-11-23 18:24:03.612014,3.98,3.01
2014-11-23 18:24:33.699553,3.97,3.01
2014-11-23 18:25:03.791034,3.97,3.01
2014-11-23 18:25:33.882256,3.97,3.01
2014-11-23 18:26:03.969800,3.97,3.01
2014-11-23 18:26:34.061242,3.97,3.01
2014-11-23 18:27:04.153136,3.97,3.01
2014-11-23 18:27:34.244380,3.97,3.01
2014-11-23 18:28:04.331746,3.97,3.01
2014-11-23 18:28:34.423464,3.97,3.01
2014-11-23 18:29:04.514689,3.97,3.01
2014-11-23 18:29:34.602016,3.97,3.01
2014-11-23 18:30:04.693595,3.97,3.01
2014-11-23 18:30:34.785129,3.97,3.01
2014-11-23 18:31:04.872826,3.97,3.01
2014-11-23 18:31:34.964102,3.97,3.01
2014-11-23 18:32:05.055734,3.97,3.01
2014-11-23 18:32:35.143241,3.97,3.01
2014-11-23 18:33:05.234652,3.97,3.01
2014-11-23 18:33:35.326067,3.97,3.01
2014-11-23 18:34:05.417639,3.97,3.01
2014-11-23 18:34:35.505071,3.96,3.01
2014-11-23 18:35:05.596730,3.97,3.01
2014-11-23 18:35:35.688026,3.97,3.01
2014-11-23 18:36:05.775741,3.97,3.01
2014-11-23 18:36:35.866905,3.97,3.01
2014-11-23 18:37:05.958780,3.97,3.01
2014-11-23 18:37:36.045956,3.96,3.01
