Time,Sample #,proper VBAT,CHG,,VBAT-original,original conversion factor,digital #,proper conversion,proper VBAT
12:56.2,1,3.85,2.84,,3.59,0.00453125,792,0.004853516,3.85
13:26.2,2,3.87,2.85,,3.61,0.00453125,797,0.004853516,3.87
13:56.2,3,3.88,2.86,,3.62,0.00453125,799,0.004853516,3.88
14:26.2,4,3.89,2.86,,3.63,0.00453125,801,0.004853516,3.89
14:56.3,5,3.89,2.86,,3.63,0.00453125,801,0.004853516,3.89
15:26.4,6,3.89,2.86,,3.63,0.00453125,801,0.004853516,3.89
15:56.5,7,3.89,2.86,,3.63,0.00453125,801,0.004853516,3.89
16:26.6,8,3.88,2.85,,3.62,0.00453125,799,0.004853516,3.88
16:56.7,9,3.88,2.85,,3.62,0.00453125,799,0.004853516,3.88
17:26.8,10,3.88,2.85,,3.62,0.00453125,799,0.004853516,3.88
17:56.8,11,3.88,2.85,,3.62,0.00453125,799,0.004853516,3.88
18:26.9,12,3.87,2.85,,3.61,0.00453125,797,0.004853516,3.87
18:57.0,13,3.87,2.85,,3.61,0.00453125,797,0.004853516,3.87
19:27.1,14,3.87,2.86,,3.61,0.00453125,797,0.004853516,3.87
19:57.2,15,3.87,2.86,,3.61,0.00453125,797,0.004853516,3.87
20:27.3,16,3.87,2.87,,3.61,0.00453125,797,0.004853516,3.87
20:57.4,17,3.88,2.87,,3.62,0.00453125,799,0.004853516,3.88
21:27.4,18,3.88,2.87,,3.62,0.00453125,799,0.004853516,3.88
21:57.5,19,3.88,2.87,,3.62,0.00453125,799,0.004853516,3.88
22:27.6,20,3.88,2.88,,3.62,0.00453125,799,0.004853516,3.88
22:57.7,21,3.88,2.88,,3.62,0.00453125,799,0.004853516,3.88
23:27.8,22,3.88,2.88,,3.62,0.00453125,799,0.004853516,3.88
23:57.9,23,3.89,2.89,,3.63,0.00453125,801,0.004853516,3.89
24:28.0,24,3.89,2.88,,3.63,0.00453125,801,0.004853516,3.89
24:58.0,25,3.89,2.88,,3.63,0.00453125,801,0.004853516,3.89
25:28.1,26,3.89,2.88,,3.63,0.00453125,801,0.004853516,3.89
25:58.2,27,3.89,2.88,,3.63,0.00453125,801,0.004853516,3.89
26:28.3,28,3.89,2.88,,3.63,0.00453125,801,0.004853516,3.89
26:58.4,29,3.89,2.89,,3.63,0.00453125,801,0.004853516,3.89
27:28.5,30,3.89,2.89,,3.63,0.00453125,801,0.004853516,3.89
