Time,VBAT,CHG
2014-11-14 18:27:10.831329,3.87,3.07
2014-11-14 18:27:42.418170,3.87,3.08
2014-11-14 18:28:12.505532,3.95,3.14
2014-11-14 18:28:42.593103,3.87,3.09
2014-11-14 18:29:12.676699,3.98,3.16
2014-11-14 18:29:42.764168,3.89,3.1
2014-11-14 18:30:12.847673,3.97,3.15
2014-11-14 18:30:42.935187,3.92,3.13
2014-11-14 18:31:13.023018,3.98,3.16
2014-11-14 18:31:43.106412,3.93,3.13
2014-11-14 18:32:13.193891,3.92,3.12
2014-11-14 18:32:43.277689,4.04,3.2
2014-11-14 18:33:13.365221,4.03,3.19
2014-11-14 18:33:43.452644,3.98,3.17
2014-11-14 18:34:13.536384,3.93,3.13
2014-11-14 18:34:43.623667,3.94,3.13
2014-11-14 18:35:13.707548,3.99,3.15
2014-11-14 18:35:43.795122,4.02,3.17
2014-11-14 18:36:13.882495,4.1,3.22
2014-11-14 18:36:43.965907,4.0,3.15
2014-11-14 18:37:14.053354,3.94,3.11
2014-11-14 18:37:44.137065,3.93,3.1
2014-11-14 18:38:14.224616,4.06,3.19
2014-11-14 18:38:44.312184,3.94,3.11
2014-11-14 18:39:14.395794,3.93,3.12
2014-11-14 18:39:44.483162,4.04,3.2
2014-11-14 18:40:14.566787,4.04,3.22
2014-11-14 18:40:44.654519,4.07,3.23
2014-11-14 18:41:14.738035,4.04,3.21
2014-11-14 18:41:44.825470,4.09,3.24
2014-11-14 18:42:14.913000,4.02,3.2
2014-11-14 18:42:44.996640,4.05,3.22
2014-11-14 18:43:15.084061,3.95,3.15
2014-11-14 18:43:45.167849,4.06,3.23
2014-11-14 18:44:15.255330,3.96,3.16
2014-11-14 18:44:45.338752,4.09,3.24
2014-11-14 18:45:15.426208,3.96,3.16
2014-11-14 18:45:45.513768,4.04,3.21
2014-11-14 18:46:15.597406,4.02,3.2
2014-11-14 18:46:45.685205,4.02,3.2
2014-11-14 18:47:15.768572,4.04,3.21
2014-11-14 18:47:45.856320,4.08,3.24
2014-11-14 18:48:15.943682,3.98,3.16
2014-11-14 18:48:46.027251,4.08,3.24
2014-11-14 18:49:16.114876,3.97,3.16
2014-11-14 18:49:46.198332,3.98,3.17
2014-11-14 18:50:16.285877,4.08,3.23
2014-11-14 18:50:46.373683,4.14,3.27
2014-11-14 18:51:16.457056,4.13,3.21
2014-11-14 18:51:46.544514,4.03,3.2
2014-11-14 18:52:16.628124,4.05,3.21
2014-11-14 18:52:46.715858,4.1,3.19
2014-11-14 18:53:16.803282,4.1,3.24
2014-11-14 18:53:46.886839,4.0,3.17
2014-11-14 18:54:16.974209,4.02,3.18
2014-11-14 18:54:47.057851,4.04,3.19
2014-11-14 18:55:17.145237,4.07,3.2
2014-11-14 18:55:47.233065,4.09,3.22
2014-11-14 18:56:17.316732,4.01,3.16
2014-11-14 18:56:47.403779,4.0,3.15
2014-11-14 18:57:17.487684,4.15,3.26
2014-11-14 18:57:47.574988,4.03,3.19
2014-11-14 18:58:17.658917,4.15,3.27
2014-11-14 18:58:47.746431,4.02,3.18
2014-11-14 18:59:17.834014,3.98,3.18
2014-11-14 18:59:47.917355,4.14,3.27
2014-11-14 19:00:18.004957,4.01,3.2
2014-11-14 19:00:48.088198,4.1,3.25
2014-11-14 19:01:18.175930,4.12,3.27
2014-11-14 19:01:48.263655,4.09,3.25
2014-11-14 19:02:18.347534,4.03,3.21
2014-11-14 19:02:48.434558,4.12,3.26
2014-11-14 19:03:18.518528,4.12,3.27
2014-11-14 19:03:48.605853,4.13,3.27
2014-11-14 19:04:18.689246,4.13,3.27
2014-11-14 19:04:48.776816,4.14,3.28
2014-11-14 19:05:18.864548,4.07,3.23
2014-11-14 19:05:48.948254,4.22,3.33
