Time,VBAT,CHG
2014-11-18 03:26:02.404719,3.98,3.01
2014-11-18 03:26:32.492509,3.96,2.99
2014-11-18 03:27:02.575611,3.93,2.98
2014-11-18 03:27:32.663297,3.93,2.98
2014-11-18 03:28:02.747036,3.92,2.98
2014-11-18 03:28:32.834513,3.92,2.98
2014-11-18 03:29:02.918275,3.92,2.98
2014-11-18 03:29:33.005380,3.92,2.98
2014-11-18 03:30:03.088862,3.92,2.98
2014-11-18 03:30:33.176834,3.91,2.98
2014-11-18 03:31:03.260272,3.91,2.98
2014-11-18 03:31:33.347946,3.91,2.98
2014-11-18 03:32:03.431363,3.91,2.98
2014-11-18 03:32:33.518805,3.91,2.97
2014-11-18 03:33:03.602462,3.91,2.97
2014-11-18 03:33:33.690228,3.91,2.97
2014-11-18 03:34:03.777582,3.9,2.97
2014-11-18 03:34:33.860995,3.9,2.97
2014-11-18 03:35:03.948527,3.9,2.97
2014-11-18 03:35:34.032192,3.9,2.97
2014-11-18 03:36:04.119749,3.9,2.97
2014-11-18 03:36:34.203451,3.9,2.97
2014-11-18 03:37:04.290709,3.9,2.97
2014-11-18 03:37:34.374086,3.9,2.97
2014-11-18 03:38:04.461993,3.9,2.97
2014-11-18 03:38:34.545478,3.9,2.96
2014-11-18 03:39:04.633103,3.91,2.97
2014-11-18 03:39:34.716595,3.9,2.97
2014-11-18 03:40:04.804175,3.91,2.98
2014-11-18 03:40:34.887768,3.9,2.97
2014-11-18 03:41:04.975237,3.9,2.97
2014-11-18 03:41:35.058728,3.9,2.97
2014-11-18 03:42:05.146451,3.89,2.96
2014-11-18 03:42:35.229672,3.89,2.96
2014-11-18 03:43:05.317670,3.89,2.96
2014-11-18 03:43:35.401061,3.89,2.97
2014-11-18 03:44:05.488489,3.9,2.97
2014-11-18 03:44:35.572226,3.89,2.96
2014-11-18 03:45:05.659460,3.9,2.97
2014-11-18 03:45:35.742996,3.89,2.97
2014-11-18 03:46:05.830665,3.88,2.96
2014-11-18 03:46:35.918294,3.89,2.96
2014-11-18 03:47:06.001922,3.89,2.96
2014-11-18 03:47:36.089261,3.9,2.97
2014-11-18 03:48:06.172893,3.88,2.96
2014-11-18 03:48:36.260455,3.88,2.96
2014-11-18 03:49:06.343749,3.89,2.96
2014-11-18 03:49:36.431479,3.88,2.96
2014-11-18 03:50:06.515218,3.88,2.96
2014-11-18 03:50:36.602887,3.9,2.97
2014-11-18 03:51:06.686509,3.88,2.96
2014-11-18 03:51:36.773806,3.88,2.96
2014-11-18 03:52:06.857349,3.88,2.96
2014-11-18 03:52:36.944643,3.88,2.96
2014-11-18 03:53:07.028161,3.88,2.96
2014-11-18 03:53:37.115990,3.9,2.97
2014-11-18 03:54:07.199551,3.88,2.96
2014-11-18 03:54:37.286909,3.88,2.96
2014-11-18 03:55:07.370501,3.88,2.96
2014-11-18 03:55:37.458289,3.88,2.96
2014-11-18 03:56:07.541700,3.87,2.96
2014-11-18 03:56:37.629340,3.88,2.96
2014-11-18 03:57:07.712572,3.88,2.96
2014-11-18 03:57:37.800355,3.88,2.96
2014-11-18 03:58:07.884096,3.89,2.97
2014-11-18 03:58:37.971442,3.88,2.96
2014-11-18 03:59:08.054844,3.88,2.96
2014-11-18 03:59:38.142504,3.89,2.97
2014-11-18 04:00:08.230083,3.87,2.95
2014-11-18 04:00:38.313477,3.88,2.96
2014-11-18 04:01:08.401274,3.88,2.95
2014-11-18 04:01:38.484822,3.88,2.95
2014-11-18 04:02:08.572074,3.87,2.96
2014-11-18 04:02:38.655847,3.87,2.96
2014-11-18 04:03:08.743359,3.88,2.96
2014-11-18 04:03:38.827001,3.87,2.95
2014-11-18 04:04:08.914610,3.87,2.95
2014-11-18 04:04:38.998005,3.87,2.96
2014-11-18 04:05:09.085565,3.87,2.95
2014-11-18 04:05:39.169165,3.87,2.95
2014-11-18 04:06:09.256726,3.87,2.96
2014-11-18 04:06:39.340394,3.87,2.95
2014-11-18 04:07:09.427872,3.87,2.95
2014-11-18 04:07:39.511340,3.87,2.95
2014-11-18 04:08:09.598712,3.87,2.95
2014-11-18 04:08:39.682530,3.87,2.95
2014-11-18 04:09:09.769997,3.87,2.95
2014-11-18 04:09:39.853446,3.87,2.95
2014-11-18 04:10:09.941103,3.87,2.95
2014-11-18 04:10:40.024685,3.87,2.95
2014-11-18 04:11:10.112208,3.87,2.95
