Time,VBAT,CHG
2014-12-02 03:37:12.211277,3.72,2.88
2014-12-02 03:37:43.797730,3.76,2.91
2014-12-02 03:38:13.885461,3.78,2.93
2014-12-02 03:38:43.969136,3.8,2.94
2014-12-02 03:39:14.056481,3.81,2.95
2014-12-02 03:39:44.144276,3.82,2.96
2014-12-02 03:40:14.227740,3.84,2.97
2014-12-02 03:40:44.315486,3.85,2.98
2014-12-02 03:41:14.399022,3.86,2.98
2014-12-02 03:41:44.486482,3.86,2.98
2014-12-02 03:42:14.574051,3.87,2.99
2014-12-02 03:42:44.657532,3.87,2.99
2014-12-02 03:43:14.745223,3.88,2.99
2014-12-02 03:43:44.832859,3.87,2.99
2014-12-02 03:44:14.916203,3.89,2.99
2014-12-02 03:44:45.003923,3.88,2.99
2014-12-02 03:45:15.091525,3.88,2.99
2014-12-02 03:45:45.175067,3.88,2.99
2014-12-02 03:46:15.262500,3.88,2.99
2014-12-02 03:46:45.346249,3.88,2.99
2014-12-02 03:47:15.433590,3.89,2.99
2014-12-02 03:47:45.521353,3.89,3.0
2014-12-02 03:48:15.604784,3.89,3.0
2014-12-02 03:48:45.692481,3.89,3.0
2014-12-02 03:49:15.780104,3.89,3.0
2014-12-02 03:49:45.863563,3.89,3.0
2014-12-02 03:50:15.951005,3.89,3.0
2014-12-02 03:50:46.038581,3.9,3.0
2014-12-02 03:51:16.122211,3.9,3.0
2014-12-02 03:51:46.210025,3.9,3.01
2014-12-02 03:52:16.293317,3.91,3.01
2014-12-02 03:52:46.381187,3.91,3.01
2014-12-02 03:53:16.468576,3.91,3.01
2014-12-02 03:53:46.552226,3.9,3.01
2014-12-02 03:54:16.639696,3.91,3.01
2014-12-02 03:54:46.727354,3.91,3.01
2014-12-02 03:55:16.811052,3.92,3.02
2014-12-02 03:55:46.898495,3.92,3.02
2014-12-02 03:56:16.982107,3.92,3.02
2014-12-02 03:56:47.069664,3.92,3.02
2014-12-02 03:57:17.157306,3.92,3.02
2014-12-02 03:57:47.240899,3.93,3.02
2014-12-02 03:58:17.328376,3.93,3.03
2014-12-02 03:58:47.415767,3.93,3.03
2014-12-02 03:59:17.499562,3.93,3.03
2014-12-02 03:59:47.587137,3.93,3.03
2014-12-02 04:00:17.674796,3.94,3.03
2014-12-02 04:00:47.758303,3.94,3.03
2014-12-02 04:01:17.845912,3.94,3.03
2014-12-02 04:01:47.929405,3.94,3.03
2014-12-02 04:02:18.016989,3.94,3.03
2014-12-02 04:02:48.104487,3.95,3.04
2014-12-02 04:03:18.188122,3.95,3.04
2014-12-02 04:03:48.275356,3.95,3.04
2014-12-02 04:04:18.363131,3.95,3.04
2014-12-02 04:04:48.446800,3.96,3.05
2014-12-02 04:05:18.534374,3.95,3.04
2014-12-02 04:05:48.622009,3.95,3.04
2014-12-02 04:06:18.705413,3.96,3.04
2014-12-02 04:06:48.792982,3.96,3.05
2014-12-02 04:07:18.876639,3.96,3.04
2014-12-02 04:07:48.964333,3.96,3.04
