Time,VBAT,CHG
2014-12-01 09:26:31.629565,4.16,3.21
2014-12-01 09:27:01.717068,4.15,3.2
2014-12-01 09:27:31.800587,4.15,3.19
2014-12-01 09:28:01.887944,4.15,3.2
2014-12-01 09:28:31.971726,4.15,3.2
2014-12-01 09:29:02.059174,4.15,3.19
2014-12-01 09:29:32.146615,4.15,3.19
2014-12-01 09:30:02.230176,4.15,3.19
2014-12-01 09:30:32.317570,4.15,3.2
2014-12-01 09:31:02.401145,4.14,3.19
2014-12-01 09:31:32.488633,4.14,3.19
2014-12-01 09:32:02.576070,4.14,3.19
2014-12-01 09:32:32.659749,4.14,3.2
2014-12-01 09:33:02.747304,4.14,3.19
2014-12-01 09:33:32.830902,4.15,3.2
2014-12-01 09:34:02.918286,4.14,3.19
2014-12-01 09:34:33.001973,4.14,3.19
2014-12-01 09:35:03.089599,4.14,3.19
2014-12-01 09:35:33.177078,4.14,3.18
2014-12-01 09:36:03.260567,4.14,3.19
2014-12-01 09:36:33.348179,4.14,3.19
2014-12-01 09:37:03.431647,4.14,3.19
2014-12-01 09:37:33.519246,4.14,3.19
2014-12-01 09:38:03.602751,4.14,3.19
2014-12-01 09:38:33.690344,4.14,3.19
2014-12-01 09:39:03.778158,4.14,3.18
2014-12-01 09:39:33.861186,4.14,3.18
2014-12-01 09:40:03.949200,4.14,3.18
2014-12-01 09:40:34.032602,4.14,3.18
2014-12-01 09:41:04.120299,4.14,3.18
2014-12-01 09:41:34.207629,4.13,3.18
2014-12-01 09:42:04.291458,4.14,3.18
2014-12-01 09:42:34.378649,4.14,3.18
2014-12-01 09:43:04.462392,4.13,3.18
2014-12-01 09:43:34.549863,4.14,3.18
2014-12-01 09:44:04.637435,4.13,3.18
2014-12-01 09:44:34.721021,4.14,3.18
2014-12-01 09:45:04.808679,4.13,3.18
2014-12-01 09:45:34.892102,4.13,3.18
2014-12-01 09:46:04.979744,4.13,3.17
2014-12-01 09:46:35.062957,4.13,3.18
2014-12-01 09:47:05.150998,4.13,3.18
2014-12-01 09:47:35.238272,4.13,3.18
2014-12-01 09:48:05.321817,4.14,3.18
2014-12-01 09:48:35.409343,4.13,3.17
2014-12-01 09:49:05.492755,4.14,3.18
2014-12-01 09:49:35.580517,4.13,3.17
2014-12-01 09:50:05.668119,4.13,3.18
2014-12-01 09:50:35.751610,4.13,3.17
2014-12-01 09:51:05.839081,4.13,3.17
2014-12-01 09:51:35.922783,4.14,3.18
2014-12-01 09:52:06.010112,4.12,3.17
2014-12-01 09:52:36.097723,4.13,3.17
2014-12-01 09:53:06.181403,4.13,3.17
2014-12-01 09:53:36.268948,4.13,3.17
2014-12-01 09:54:06.352309,4.12,3.17
2014-12-01 09:54:36.440060,4.12,3.17
2014-12-01 09:55:06.527658,4.12,3.17
