Time,VBAT,CHG
2014-11-27 02:22:54.571814,3.72,2.86
2014-11-27 02:23:26.158617,3.77,2.88
2014-11-27 02:23:56.245909,3.79,2.9
2014-11-27 02:24:26.333598,3.81,2.91
2014-11-27 02:24:56.417426,3.82,2.92
2014-11-27 02:25:26.504836,3.83,2.93
2014-11-27 02:25:56.588182,3.85,2.94
2014-11-27 02:26:26.675881,3.85,2.94
2014-11-27 02:26:56.763412,3.87,2.95
2014-11-27 02:27:26.847039,3.87,2.96
2014-11-27 02:27:56.934249,3.88,2.96
2014-11-27 02:28:27.018274,3.88,2.96
2014-11-27 02:28:57.105289,3.89,2.96
2014-11-27 02:29:27.193051,3.89,2.96
2014-11-27 02:29:57.276900,3.89,2.96
2014-11-27 02:30:27.364433,3.89,2.97
2014-11-27 02:30:57.447933,3.89,2.97
2014-11-27 02:31:27.535132,3.89,2.97
2014-11-27 02:31:57.618977,3.89,2.97
2014-11-27 02:32:27.706309,3.91,2.98
2014-11-27 02:32:57.794043,3.9,2.97
2014-11-27 02:33:27.877718,3.9,2.97
2014-11-27 02:33:57.965225,3.91,2.98
2014-11-27 02:34:28.049135,3.9,2.98
2014-11-27 02:34:58.136599,3.91,2.98
2014-11-27 02:35:28.223989,3.91,2.98
2014-11-27 02:35:58.307663,3.91,2.98
2014-11-27 02:36:28.395015,3.92,2.98
2014-11-27 02:36:58.478788,3.92,2.98
2014-11-27 02:37:28.566118,3.92,2.98
2014-11-27 02:37:58.653932,3.92,2.98
2014-11-27 02:38:28.737408,3.92,2.99
2014-11-27 02:38:58.824846,3.93,2.99
2014-11-27 02:39:28.908055,3.94,2.99
2014-11-27 02:39:58.995678,3.93,2.99
2014-11-27 02:40:29.083274,3.93,2.99
2014-11-27 02:40:59.167052,3.94,2.99
2014-11-27 02:41:29.254803,3.94,2.99
2014-11-27 02:41:59.338014,3.95,2.99
2014-11-27 02:42:29.425635,3.95,3.0
2014-11-27 02:42:59.509079,3.95,3.0
2014-11-27 02:43:29.596720,3.95,3.0
2014-11-27 02:43:59.684229,3.95,3.0
2014-11-27 02:44:29.767936,3.95,3.0
2014-11-27 02:44:59.855694,3.96,3.0
2014-11-27 02:45:29.939050,3.96,3.0
2014-11-27 02:46:00.026705,3.96,3.0
2014-11-27 02:46:30.114388,3.96,3.01
2014-11-27 02:47:00.197658,3.96,3.01
2014-11-27 02:47:30.285240,3.96,3.01
2014-11-27 02:48:00.368805,3.97,3.01
2014-11-27 02:48:30.456657,3.97,3.01
2014-11-27 02:49:00.544197,3.97,3.01
2014-11-27 02:49:30.627611,3.98,3.02
2014-11-27 02:50:00.715125,3.98,3.02
2014-11-27 02:50:30.798697,3.98,3.02
2014-11-27 02:51:00.886070,3.98,3.02
2014-11-27 02:51:30.974004,3.98,3.02
2014-11-27 02:52:01.057298,3.98,3.02
2014-11-27 02:52:31.144985,3.99,3.03
2014-11-27 02:53:01.228409,3.99,3.03
2014-11-27 02:53:31.316107,3.98,3.02
2014-11-27 02:54:01.399381,3.98,3.03
2014-11-27 02:54:31.486913,3.99,3.02
2014-11-27 02:55:01.574578,3.99,3.03
2014-11-27 02:55:31.658104,3.99,3.03
2014-11-27 02:56:01.745878,4.0,3.03
2014-11-27 02:56:31.829392,4.0,3.03
2014-11-27 02:57:01.917214,4.0,3.04
2014-11-27 02:57:32.004585,4.0,3.03
2014-11-27 02:58:02.087922,4.0,3.03
2014-11-27 02:58:32.175504,4.01,3.04
2014-11-27 02:59:02.258947,4.0,3.03
2014-11-27 02:59:32.346845,4.01,3.04
2014-11-27 03:00:02.434321,4.0,3.04
2014-11-27 03:00:32.518030,4.01,3.04
2014-11-27 03:01:02.605622,4.01,3.04
2014-11-27 03:01:32.689194,4.01,3.04
2014-11-27 03:02:02.776590,4.02,3.04
2014-11-27 03:02:32.860000,4.02,3.04
2014-11-27 03:03:02.947626,4.01,3.04
2014-11-27 03:03:33.035380,4.01,3.04
2014-11-27 03:04:03.118882,4.02,3.04
2014-11-27 03:04:33.206367,4.02,3.04
2014-11-27 03:05:03.289769,4.02,3.05
2014-11-27 03:05:33.377842,4.02,3.05
2014-11-27 03:06:03.464890,4.02,3.05
2014-11-27 03:06:33.548738,4.02,3.05
2014-11-27 03:07:03.636236,4.02,3.05
2014-11-27 03:07:33.719684,4.03,3.05
2014-11-27 03:08:03.807363,4.03,3.05
2014-11-27 03:08:33.890566,4.03,3.05
2014-11-27 03:09:03.978355,4.03,3.05
2014-11-27 03:09:34.065853,4.03,3.05
2014-11-27 03:10:04.149411,4.03,3.06
2014-11-27 03:10:34.237317,4.04,3.06
2014-11-27 03:11:04.320382,4.04,3.06
2014-11-27 03:11:34.408340,4.04,3.06
2014-11-27 03:12:04.495855,4.04,3.06
2014-11-27 03:12:34.579493,4.04,3.06
2014-11-27 03:13:04.667142,4.04,3.07
2014-11-27 03:13:34.750474,4.04,3.06
2014-11-27 03:14:04.838161,4.05,3.06
2014-11-27 03:14:34.921529,4.05,3.06
2014-11-27 03:15:05.009243,4.05,3.07
2014-11-27 03:15:35.096854,4.06,3.07
2014-11-27 03:16:05.180419,4.05,3.07
2014-11-27 03:16:35.267709,4.05,3.07
2014-11-27 03:17:05.351823,4.05,3.07
2014-11-27 03:17:35.438740,4.05,3.07
2014-11-27 03:18:05.526733,4.06,3.08
2014-11-27 03:18:35.610190,4.07,3.08
2014-11-27 03:19:05.697687,4.07,3.08
2014-11-27 03:19:35.781227,4.06,3.08
2014-11-27 03:20:05.868533,4.07,3.08
2014-11-27 03:20:35.952332,4.07,3.08
2014-11-27 03:21:06.039730,4.07,3.08
2014-11-27 03:21:36.127377,4.07,3.08
2014-11-27 03:22:06.211080,4.07,3.08
2014-11-27 03:22:36.298638,4.07,3.08
2014-11-27 03:23:06.382161,4.08,3.09
2014-11-27 03:23:36.469721,4.08,3.09
2014-11-27 03:24:06.557295,4.08,3.09
2014-11-27 03:24:36.640587,4.09,3.09
2014-11-27 03:25:06.728237,4.09,3.09
2014-11-27 03:25:36.812111,4.09,3.09
2014-11-27 03:26:06.899506,4.1,3.1
2014-11-27 03:26:36.983121,4.09,3.1
2014-11-27 03:27:07.070686,4.1,3.1
2014-11-27 03:27:37.158377,4.1,3.1
2014-11-27 03:28:07.241476,4.1,3.1
2014-11-27 03:28:37.329500,4.1,3.1
2014-11-27 03:29:07.412945,4.1,3.1
2014-11-27 03:29:37.500388,4.11,3.11
2014-11-27 03:30:07.584124,4.12,3.11
2014-11-27 03:30:37.671672,4.11,3.11
2014-11-27 03:31:07.759237,4.12,3.11
2014-11-27 03:31:37.842320,4.12,3.11
2014-11-27 03:32:07.930174,4.12,3.11
2014-11-27 03:32:38.013565,4.11,3.11
2014-11-27 03:33:08.101406,4.12,3.12
2014-11-27 03:33:38.189079,4.12,3.11
2014-11-27 03:34:08.272489,4.13,3.11
2014-11-27 03:34:38.360139,4.13,3.11
2014-11-27 03:35:08.443353,4.13,3.11
2014-11-27 03:35:38.531135,4.13,3.12
2014-11-27 03:36:08.614549,4.13,3.12
2014-11-27 03:36:38.702207,4.14,3.12
2014-11-27 03:37:08.790052,4.14,3.12
2014-11-27 03:37:38.873505,4.14,3.12
2014-11-27 03:38:08.961100,4.14,3.13
2014-11-27 03:38:39.044584,4.14,3.13
2014-11-27 03:39:09.132006,4.15,3.13
2014-11-27 03:39:39.215604,4.15,3.14
2014-11-27 03:40:09.303191,4.15,3.13
2014-11-27 03:40:39.390772,4.16,3.14
2014-11-27 03:41:09.474403,4.15,3.13
2014-11-27 03:41:39.561787,4.15,3.14
2014-11-27 03:42:09.645145,4.16,3.14
2014-11-27 03:42:39.732911,4.16,3.14
2014-11-27 03:43:09.820297,4.17,3.14
2014-11-27 03:43:39.903845,4.16,3.14
2014-11-27 03:44:09.991377,4.17,3.14
2014-11-27 03:44:40.075304,4.18,3.15
2014-11-27 03:45:10.162797,4.17,3.15
2014-11-27 03:45:40.246120,4.17,3.15
2014-11-27 03:46:10.333938,4.18,3.15
2014-11-27 03:46:40.421246,4.17,3.15
2014-11-27 03:47:10.504949,4.19,3.15
2014-11-27 03:47:40.592508,4.18,3.15
2014-11-27 03:48:10.675931,4.19,3.15
2014-11-27 03:48:40.763711,4.18,3.15
2014-11-27 03:49:10.847376,4.2,3.16
