Time,VBAT,CHG
2014-11-27 03:49:42.437980,4.03,3.06
2014-11-27 03:50:12.521603,4.01,3.04
2014-11-27 03:50:42.608850,4.0,3.04
2014-11-27 03:51:12.692389,3.99,3.03
2014-11-27 03:51:42.780129,3.99,3.03
2014-11-27 03:52:12.863752,4.0,3.03
2014-11-27 03:52:42.951299,3.99,3.03
2014-11-27 03:53:13.039046,3.99,3.03
2014-11-27 03:53:43.122169,3.98,3.03
2014-11-27 03:54:13.209888,3.99,3.03
2014-11-27 03:54:43.293215,3.98,3.03
2014-11-27 03:55:13.381140,3.98,3.02
2014-11-27 03:55:43.464830,3.98,3.02
2014-11-27 03:56:13.552090,3.98,3.02
2014-11-27 03:56:43.639828,3.98,3.02
2014-11-27 03:57:13.722954,3.98,3.02
2014-11-27 03:57:43.810951,3.98,3.02
2014-11-27 03:58:13.894171,3.98,3.02
2014-11-27 03:58:43.981958,3.98,3.02
2014-11-27 03:59:14.065561,3.98,3.02
2014-11-27 03:59:44.153210,3.98,3.02
2014-11-27 04:00:14.240543,3.98,3.02
2014-11-27 04:00:44.324297,3.98,3.02
2014-11-27 04:01:14.411687,3.97,3.02
2014-11-27 04:01:44.495035,3.98,3.02
2014-11-27 04:02:14.582775,3.98,3.02
2014-11-27 04:02:44.666541,3.97,3.02
2014-11-27 04:03:14.754128,3.97,3.02
2014-11-27 04:03:44.841599,3.98,3.02
2014-11-27 04:04:14.925044,3.98,3.02
2014-11-27 04:04:45.012373,3.97,3.01
2014-11-27 04:05:15.095974,3.97,3.02
2014-11-27 04:05:45.183930,3.97,3.01
2014-11-27 04:06:15.267448,3.97,3.01
2014-11-27 04:06:45.354845,3.97,3.01
2014-11-27 04:07:15.442436,3.96,3.01
2014-11-27 04:07:45.526079,3.96,3.01
2014-11-27 04:08:15.613591,3.97,3.01
2014-11-27 04:08:45.696757,3.96,3.01
2014-11-27 04:09:15.784497,3.97,3.02
2014-11-27 04:09:45.867964,3.96,3.01
2014-11-27 04:10:15.955733,3.96,3.01
