current Cycle: ,0
O,F,F,/,U,N,P,L,U,G,G,E,D
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,4,:,4,2,.,8,8,7,5,3,0
CHG: 0.51,BLEDR2: 0.0,BLEDR1: 0.0,REAR_LEDS: 0.55,VBAT: 0.4,FRONT_LEDS: 0.67,PG: 0.46,PWM: 0.66,TLEDR2: 0.06,TLEDR1: 0.07
O,F,F,/,P,L,U,G,G,E,D,I,N
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,4,:,4,6,.,8,9,5,1,7,7
CHG: 4.2,BLEDR2: 2.25,BLEDR1: 2.25,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.0,TLEDR2: 2.17,TLEDR1: 2.05
O,N,/,P,L,U,G,G,E,D,I,N
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,4,:,5,0,.,9,1,0,5,0,0
CHG: 4.2,BLEDR2: 1.93,BLEDR1: 1.91,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.0,TLEDR2: 1.37,TLEDR1: 1.37
B,R,E,A,T,H,I,N,G,/,P,L,U,G,G,E,D,I,N
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,4,:,5,4,.,9,1,9,9,8,8
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 1.96,TLEDR2: 2.1,TLEDR1: 2.09
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 2.15,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.2,TLEDR2: 1.37,TLEDR1: 2.33
CHG: 4.19,BLEDR2: 1.97,BLEDR1: 1.96,REAR_LEDS: 0.0,VBAT: 4.19,FRONT_LEDS: 4.17,PG: 0.0,PWM: 1.21,TLEDR2: 2.13,TLEDR1: 2.13
