Model,MSO4104B-L
Firmware Version,2.90

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.0488
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0.16
,
,
,
Label,BATT_V
TIME,CH1
-5.1200e-02,0.00250781
-5.1180e-02,-0.0049375
-5.1160e-02,-0.0054375
-5.1140e-02,0.00427344
-5.1120e-02,0.00250781
-5.1100e-02,0.00340625
-5.1080e-02,0.00251563
-5.1060e-02,-0.00974219
-5.1040e-02,3.125e-05
-5.1020e-02,0.00411719
-5.1000e-02,0.000390625
-5.0980e-02,0.00367969
-5.0960e-02,0.00541406
-5.0940e-02,-0.00860938
-5.0920e-02,0.00677344
-5.0900e-02,0.00457031
-5.0880e-02,-0.000601562
-5.0860e-02,0.00558594
-5.0840e-02,-0.00598438
-5.0820e-02,-0.0114219
-5.0800e-02,-0.00375781
-5.0780e-02,-0.00542969
-5.0760e-02,-0.00379687
-5.0740e-02,0.0111016
-5.0720e-02,0.00310156
-5.0700e-02,-0.00230469
-5.0680e-02,0.005
-5.0660e-02,0.00124219
-5.0640e-02,-0.00247656
-5.0620e-02,0.00739844
-5.0600e-02,-0.00796094
-5.0580e-02,-0.000453125
-5.0560e-02,0.00684375
-5.0540e-02,-0.00285156
-5.0520e-02,0.00390625
-5.0500e-02,-0.00248438
-5.0480e-02,-0.00803906
-5.0460e-02,0.00117187
-5.0440e-02,0.0121094
-5.0420e-02,-0.00346875
-5.0400e-02,-0.00223438
-5.0380e-02,-0.0009375
-5.0360e-02,-0.00760156
-5.0340e-02,0.00301562
-5.0320e-02,0.00871094
-5.0300e-02,0.00134375
-5.0280e-02,0.00046875
-5.0260e-02,-0.00291406
-5.0240e-02,-0.00758594
-5.0220e-02,0.00425
-5.0200e-02,0.00927344
-5.0180e-02,-0.00250781
-5.0160e-02,0.000757812
-5.0140e-02,-0.000460938
-5.0120e-02,-0.0109219
-5.0100e-02,0.00601563
-5.0080e-02,0.00847656
-5.0060e-02,0.00427344
-5.0040e-02,-0.00236719
-5.0020e-02,0.001125
-5.0000e-02,-0.00271094
-4.9980e-02,0.00714844
-4.9960e-02,0.00835937
-4.9940e-02,-0.00408594
-4.9920e-02,0.00639844
-4.9900e-02,-0.00128125
-4.9880e-02,-0.00151562
-4.9860e-02,-0.0018125
-4.9840e-02,-0.00438281
-4.9820e-02,-0.0119844
-4.9800e-02,-0.00332031
